	sentiment	content	labels
9808	happiness	@nkotblorib Thanks girl!!!!! Like I said, I'm willing to take a loss on them...just don't want to see them wasted	[0 1 0 0 0]
9809	sadness	this is a horrible day.	[0 0 0 0 1]
9810	sadness	Tiggerk is still having upset tummy issues  http://apps.facebook.com/dogbook/profile/view/6823131	[0 0 0 0 1]
9811	sadness	@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together	[0 0 0 0 1]
9812	neutral	@janelleyo Wish we could deliver alcohol, but state law prohibits us.	[0 0 0 1 0]
9813	sadness	@spaley sadly that is so true	[0 0 0 0 1]
9814	sadness	Checking out zensify on my iphone. works fine but no landscape typing	[0 0 0 0 1]
9815	happiness	@bryceavary So no video blogs anymore?	[0 1 0 0 0]
9816	love	http://twitpic.com/670pn - she is so cute really i really want to meet her  wish one day	[0 0 1 0 0]
9817	sadness	@BonesCrazy24 I'm tired, hungry and bored of revision! Sorry to hear about dinner	[0 0 0 0 1]
9818	neutral	AK, flop comes 2K6 I bet 15 get raised to 25 I call, turn is A, we check, river rag, then I check and he bets 15, I raise 15 he calls, 22	[0 0 0 1 0]
9819	anger	okay... I can't twitter anymore.. I have to study..  ugh I HATE SCHOOL.. jk. but I thoroughly dislike it...	[1 0 0 0 0]
9820	sadness	Stupid net  we think mum broke it. Again.	[0 0 0 0 1]
9821	happiness	time to mow the lawn.	[0 1 0 0 0]
9822	neutral	Rainy day is rainy.	[0 0 0 1 0]
9823	happiness	@exoticaleila lmao yea, I saw him on atlpics, yea I try to act like I'm still in atl  lol	[0 1 0 0 0]
9824	sadness	No shoes for me.	[0 0 0 0 1]
9825	sadness	is up at the hub for day parade again (of course) and they just cancelled the castle show mid-show	[0 0 0 0 1]
9826	sadness	installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me	[0 0 0 0 1]
9827	sadness	I will never eat broadway pizza again.. feelin ill.	[0 0 0 0 1]
9828	sadness	@420thoughts I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.	[0 0 0 0 1]
9829	sadness	No pool today.   Stupid weather.	[0 0 0 0 1]
9830	sadness	Roscoe - Smooth Sailin' WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME	[0 0 0 0 1]
9831	happiness	I just love when all my little brothers friends come over	[0 1 0 0 0]
9832	happiness	@justababy I make that same face when I get home and your mom is watching soaps.	[0 1 0 0 0]
9833	sadness	Where's my bus? I want to go home!	[0 0 0 0 1]
9834	sadness	I don't think the neti pot is working for me  maybe I'm doing it wrong?	[0 0 0 0 1]
9835	happiness	Cant believe there had been nice weather all day and I was stuck in doors all day	[0 1 0 0 0]
9837	happiness	my special edition JFPL came today! all i have time to do is rip the demo cd to itunes and upload to my ipod before i go to work	[0 1 0 0 0]
9838	sadness	@MAMAHINAi was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside	[0 0 0 0 1]
9839	sadness	My new landlord just called.. I cant move in until tomorrow morning  Way to rain on my parade..	[0 0 0 0 1]
9840	sadness	is really stressing out	[0 0 0 0 1]
9841	love	i love my new phone but hate that i didnt get my netbook today...	[0 0 1 0 0]
9842	sadness	Wow, my bed is SO comfy &amp; my nap has been much too short. Getting up for work = do not want.	[0 0 0 0 1]
9843	happiness	@joelogic Wish I could be there too!  Enjoy your weekend! xxx	[0 1 0 0 0]
9844	anger	@BretWolfe its a travesty, no? and, the people who are doing this said they'd THINK about involving joss whedon!!!!	[1 0 0 0 0]
9845	happiness	@HarleyRodrigue hey Harley, I hope you stay around and not let the haters get the best of you!  people suck!	[0 1 0 0 0]
9846	sadness	Packing is no fun at all  good thing I have the new united on to keep me going... But still no fun	[0 0 0 0 1]
9847	happiness	Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that	[0 1 0 0 0]
9848	sadness	I have not recieved any mail in over a month  life is boring	[0 0 0 0 1]
9849	neutral	@deathwishinc of course its not coming to boise	[0 0 0 1 0]
9850	anger	ughh on the phone with HP!	[1 0 0 0 0]
9851	sadness	Where's my Happiness?	[0 0 0 0 1]
9852	sadness	Was a little slow to try this one, but Ben &amp; Jerry's Mission to Marzipan is a bit of a letdown.	[0 0 0 0 1]
9853	sadness	Just got my rejection email from Jeffco schools.  fingers crossed for Boulder Valley...	[0 0 0 0 1]
9854	happiness	@combustiblesong lol i don't get enough cause my dad won't let me, he keeps waking me up	[0 1 0 0 0]
9855	neutral	@divarina21 did she tell you why she hasnt? i miss my boge.	[0 0 0 1 0]
9856	neutral	@DevonStebnicki wow, that sounds way more stressful than my job  thought about continuing edu and making a move?	[0 0 0 1 0]
9857	love	@pixy88 Thank you! And I don't care for the look on his face.	[0 0 1 0 0]
9858	sadness	Ow... My shoulder muscle (I can't remember the name :p) hurts... What did I do?  I don't even know	[0 0 0 0 1]
9859	neutral	@DoTPeRioD that sucks	[0 0 0 1 0]
9860	sadness	Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.	[0 0 0 0 1]
9861	sadness	@jen_juneau I did, until my parents got all f'd up and I started comfort-eating	[0 0 0 0 1]
9862	sadness	@stevehills dad's been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.	[0 0 0 0 1]
9863	sadness	doesn't know what to do this evening &amp; is D R E A D I N G work tomorrow  it sucks.	[0 0 0 0 1]
9864	sadness	Not feeling well. Food poisoning.......	[0 0 0 0 1]
9865	sadness	@justinchon great. so you're saying *I'm* old, being 28 and all??	[0 0 0 0 1]
9866	sadness	@livefashion lol... not gross at all  they're gross?	[0 0 0 0 1]
9867	neutral	little miss ugly	[0 0 0 1 0]
9868	happiness	Heading south on I-95.  Jacked mess around SR 234	[0 1 0 0 0]
9869	sadness	My work buddy left early today so now im all lonely.  keep lookin at the time and its barely only a min later than last time	[0 0 0 0 1]
9870	happiness	Allies not coming over	[0 1 0 0 0]
9871	neutral	@jzwack took my forum access away   fail.	[0 0 0 1 0]
9872	sadness	this laptop is going to die, its not working!	[0 0 0 0 1]
9873	happiness	@BSBTwitt U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac &amp; TLC..2 bad they're not singing anymore	[0 1 0 0 0]
9874	sadness	Powerdvd doesn't want to play my Pushing Daisies dvd. I only want screenies to make icons with! Copy protection gone bonkers?	[0 0 0 0 1]
9875	happiness	Its raining on Staunton again, We need the rain, but that just means Ive got nothing sitting outside for people to see,	[0 1 0 0 0]
9876	neutral	@JoeysMissMac Blah! Got a shot at the hospital   Taking gravol and moving very slow.	[0 0 0 1 0]
9877	happiness	My guitar ain't herew yet?, feel like i lost a limb!.	[0 1 0 0 0]
9878	sadness	at home sick	[0 0 0 0 1]
9879	sadness	My guitar ain't here yet?, feel like i lost a limb!.	[0 0 0 0 1]
9880	sadness	@Cracklin_Rosie  it was my name until yesterday	[0 0 0 0 1]
9881	anger	Friday night and still working...oh wait..it's Saturday morning already	[1 0 0 0 0]
9882	neutral	@stefathena maybe i'll go one day and thanks i'm all swined out	[0 0 0 1 0]
9883	neutral	planning how to move back home...the regression process is in motion	[0 0 0 1 0]
9884	love	@IJsthee Or your mobile doesn't like me	[0 0 1 0 0]
9885	sadness	Omg i'm so sad. I jus took in that gossip girl is done	[0 0 0 0 1]
9886	sadness	Man waking up sucks when u have to go to work like 30 min later	[0 0 0 0 1]
9887	sadness	My hair looks sooo short	[0 0 0 0 1]
9888	sadness	Oh, today my friend goes to USA! , Iï¿½m going to miss her so much!  , have a great time darling	[0 0 0 0 1]
9889	neutral	@so_precious06 sooo mad	[0 0 0 1 0]
9890	sadness	I miss you	[0 0 0 0 1]
9892	happiness	I can't wait to start my weekend. I'm so sick of working, I have to self-medicate, and I'm fresh out of herb	[0 1 0 0 0]
9893	sadness	Now @mumbly_joe is trying to guilt me into coming to Alumni Weekend. I don't think I can make that either this year. I suck a lot.	[0 0 0 0 1]
9894	neutral	So full from a great lunch and now stuck in traffic	[0 0 0 1 0]
9895	sadness	SICK again	[0 0 0 0 1]
9896	sadness	I'm so sleep deprived but it's to hot to sleep.	[0 0 0 0 1]
9897	happiness	@MrExclusive1 I'm jealous...i need 2 escape 2, lol.	[0 1 0 0 0]
9898	sadness	http://bit.ly/253ce  :: I got bit in the face by a doberman when I was four years old, I just wanted a kiss   My neighbor had about 13 ...	[0 0 0 0 1]
9899	sadness	@amybarton Hope your son is okay!	[0 0 0 0 1]
9900	sadness	@wenatcheewash I am lost. Please help me find a good home.	[0 0 0 0 1]
9901	sadness	@myuze_me Why so blah?	[0 0 0 0 1]
9903	neutral	@apollo18 Dang! Dogs are only for central and northern CA	[0 0 0 1 0]
9904	sadness	on my way to my dad's with my sistas..  r.i.p. Deb..	[0 0 0 0 1]
9905	sadness	I hate taking antibiotics, but i think i need to get me some. boooooo.	[0 0 0 0 1]
9906	neutral	@OMS_AOP It has moved away from my house and must have found its way to yours	[0 0 0 1 0]
9907	happiness	@raenewman you called me? didn't get that.  nest time for sure. maybe i'll come to LA soon. i hella wana go to Disneyland.	[0 1 0 0 0]
9908	sadness	my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u.	[0 0 0 0 1]
9909	sadness	@NathanFillion hey, what about us followers in ATL!!!!	[0 0 0 0 1]
9910	sadness	@crystal_haze aww I^m sorry that Ray Wise has appeared on the show yet   , I watch @AOTS everyday except for Friday its a best of AOTS.	[0 0 0 0 1]
9911	sadness	@Exprincess http://twitpic.com/67318 - *sniff* i feel so left out!   *grin*	[0 0 0 0 1]
9912	sadness	At home sick.. On a friday...studying is all im doing at this point.. My weekend is so ruined	[0 0 0 0 1]
9913	sadness	Whatever happened to those chocolate cigarettes replete with rice paper, 'filter' and fag packet... I miss 'em.	[0 0 0 0 1]
9914	sadness	the suns gone  hopefully nice weather tommorrow. ALL THE WORK IS SO DEPRESSING! :'(	[0 0 0 0 1]
9915	neutral	@mileycyrus voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you	[0 0 0 1 0]
9916	sadness	@starstruckfeie  i have no one to watch it with! ma peeps  are actually focused on their finals already!	[0 0 0 0 1]
9917	sadness	@cathrynmarie i miss jack n box  and whataburger  and oooo taco cabanaaaaaa  lmao	[0 0 0 0 1]
9918	happiness	Only things left to do are to sweep and mop, load up the van, and go out and have fun tonight.	[0 1 0 0 0]
9919	happiness	@jules23 I know...I would too. Yes i cant wait for BB, i love it! I heard theyre not showing the 24 hr live streaming this year though	[0 1 0 0 0]
9920	neutral	@nmarshall23	[0 0 0 1 0]
9921	sadness	Had to eat my sandwhich since guys were in a meeting. No sushi to brag about.	[0 0 0 0 1]
9922	neutral	@SKYISLANDS that's just it... I don't have anything other than work	[0 0 0 1 0]
9923	sadness	A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!	[0 0 0 0 1]
9924	happiness	@mileycyrus aww if I could, I would...  GBY ;)	[0 1 0 0 0]
9925	happiness	@hobgoods- yeah i went to satellite beach today and it was flattt  it was good for skimming though.	[0 1 0 0 0]
9926	sadness	Facebook Farm town become slower and slower	[0 0 0 0 1]
9927	sadness	Life Just Isn't Fair &gt; And I Feel	[0 0 0 0 1]
9928	sadness	This will be the worst day ever....graduation	[0 0 0 0 1]
9929	neutral	@bhamboxset I saw them at a show a few weeks ago.  Hate to say I was not all that impressed    fun. and AS were good, though.	[0 0 0 1 0]
9930	neutral	My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733	[0 0 0 1 0]
9932	happiness	@vessel2219 of course	[0 1 0 0 0]
9933	sadness	Not good news  Time for an incredibly hard decision.	[0 0 0 0 1]
9934	neutral	@meg_la_mania i have no mask to  whoooops	[0 0 0 1 0]
9935	happiness	The last day of the last time I visit my parents as an unmarried woman  (85/21589) ( http://bit.ly/Mo0QN  )	[0 1 0 0 0]
9936	neutral	Started the week with a wedding, now ending the week with a funeral	[0 0 0 1 0]
9937	neutral	@Bizfizz Does it start tomorrow?  I was going to book Sam on that and forgot	[0 0 0 1 0]
9938	sadness	I want him to call	[0 0 0 0 1]
9939	sadness	Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today	[0 0 0 0 1]
9940	sadness	Math class ugh.  Rather be a class act.  Damn quiz   gotta act fast	[0 0 0 0 1]
9941	happiness	@mytvnetwork pansy  wtf codeh?!	[0 1 0 0 0]
9942	sadness	I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad	[0 0 0 0 1]
9943	neutral	@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body	[0 0 0 1 0]
9944	sadness	getting impatient with the turnaround time on repairs to my (broken on arrival) new espresso machine  #fb	[0 0 0 0 1]
9945	neutral	sneezing frequently	[0 0 0 1 0]
9946	sadness	I might get kicked out of school. Thing is they don't know that most of us need a job to live in this city.	[0 0 0 0 1]
9947	sadness	WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!	[0 0 0 0 1]
9948	happiness	@rosiemini you got sonic without me?	[0 1 0 0 0]
9949	sadness	@PattyHankins Awe - didn't know cats got skin cancer	[0 0 0 0 1]
9950	sadness	Wow we're going to war with Korea? There goes my chances of ever being a grandma	[0 0 0 0 1]
9951	happiness	Wish my U2 beta key worked now. Don't want to wait 'till Wednesday to play	[0 1 0 0 0]
9952	sadness	still aint get my vanilla frosty yet.	[0 0 0 0 1]
9953	neutral	ninja sushi for lunch but dominicks was out of sour gummy worms	[0 0 0 1 0]
9954	neutral	bored  and sleepy and listening to music :p doing project :S	[0 0 0 1 0]
9955	sadness	I'm finished 3rd year. Moving onto 4th year on Monday. It's soooo scary. This time next year I will be finished my standard grade exams	[0 0 0 0 1]
9956	happiness	@MILEYCYRUS  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!	[0 1 0 0 0]
9957	sadness	I wonder if she knows how shallow, airy &amp; dumb her tweets make her sound. I guess not b/c if she did...she'd probably stop	[0 0 0 0 1]
9958	neutral	@arsc mega burguer was my lunch yesterday	[0 0 0 1 0]
9959	sadness	ohhhh, how sad...I didnï¿½t get it!	[0 0 0 0 1]
9960	sadness	@joeymcintyre  My sister and I are suppose to be meeting you today in Birmingham.    Please reschedule!!!	[0 0 0 0 1]
9961	anger	Borrowing my Mom's Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro	[1 0 0 0 0]
9962	love	@cultofdusty thats what i love about you, you are as SHAMELESS as i am lol and no  not yet..but it aint over yet either lol #frehleyfriday	[0 0 1 0 0]
9963	neutral	Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero	[0 0 0 1 0]
9965	sadness	i want to go to bocum tottal to see lostalone, but have no passport  dam you poorness	[0 0 0 0 1]
9966	sadness	I really want a milkshake. I have no money.	[0 0 0 0 1]
9967	sadness	ate like tons of chocolate today...  3 weeks of eating healthy, all gone with one day of unlimited eating! LOL	[0 0 0 0 1]
9968	sadness	wants to go out tonight but cant get home	[0 0 0 0 1]
9969	sadness	Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .	[0 0 0 0 1]
9970	sadness	@Dayna_aka_Rowan he could be talking to me  (he's probably not though ;) )	[0 0 0 0 1]
9971	sadness	@karlismiles indeed, much fail	[0 0 0 0 1]
9972	neutral	At minibar... listening to politics  maybe some tech starups soon?	[0 0 0 1 0]
9973	happiness	Wants to meet Jeff Hardy and Beth Britt So bad its Soo Annoying  x x	[0 1 0 0 0]
9974	sadness	So there aren't anymore exams, but there is only 3 days left. I've just now relized this is a bad thing.  And a good thing. I dont know.	[0 0 0 0 1]
9975	sadness	#Java is not working - hmph!  Can't upload photos to #Facebook.	[0 0 0 0 1]
9976	neutral	URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I'd removed space which messed up URL.  ^ES	[0 0 0 1 0]
9977	happiness	Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..	[0 1 0 0 0]
9978	sadness	@grahamcoltonfan hahah me too!! Except for when Haley gets hit by a car  but yay Leyton!	[0 0 0 0 1]
9979	sadness	yeah, I was wasting my time  fail	[0 0 0 0 1]
9980	neutral	@3Alexx It is AMAZING!!!  Its gonna get scratched sooo much though  Lol. I have 4 movies and 30 TV Shows on it already!!	[0 0 0 1 0]
9981	neutral	So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!	[0 0 0 1 0]
9982	happiness	@adonkim Sounds like a nice relaxing afternoon. I have to mow the lawn and walk the dog	[0 1 0 0 0]
9983	neutral	working on homework!!!	[0 0 0 1 0]
9984	neutral	Going back to my house to pick up some dvds for bapang and pick dito's up but forgot to pick up other dvds for dito, so I have to go back	[0 0 0 1 0]
9985	sadness	It's Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today	[0 0 0 0 1]
9986	neutral	@shakamaiden DAMN dude... dia 06, 20 e 27 eu tenho curso na DRC  flash expert...	[0 0 0 1 0]
9987	anger	The only thing I hate about Playoff Pens hockey is how much the tickets are! I wanted to go to a game but there 300$ a ticket	[1 0 0 0 0]
9988	happiness	Oh great Tampa people - anybody in the area know someone who works for the Jain Society of Tampa Bay? None of their phone #'s work.	[0 1 0 0 0]
9989	sadness	@mileycyrus I VOTED!!! do u have a personal myspace? i keep talking to fakes   i &lt;3 you. u helped me thru the hrdest time of my life! (: x	[0 0 0 0 1]
9990	sadness	proper cba with out!	[0 0 0 0 1]
9991	neutral	@cowmage  read something happy?	[0 0 0 1 0]
9992	neutral	alicias tonight? idkkkk. ughhh	[0 0 0 1 0]
9993	sadness	http://twitpic.com/674p1 - @JTHawthorne this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt	[0 0 0 0 1]
9994	neutral	In Drivers Ed  then dance.	[0 0 0 1 0]
9995	sadness	is sadly sitting at home when she could be going to a partyyyyy	[0 0 0 0 1]
9996	sadness	@ArlenesUniverse I have tried. He doesn't want to listen. I don't know what to do anymore. I just feel like HE doesn't care anymore	[0 0 0 0 1]
9997	neutral	@KourtneyKardash lucky bitch! haha we have COLDDD rain up here in MA  i would give anything for hot rain right now!	[0 0 0 1 0]
9998	anger	#twitterfails fucking hard right now...this is annoying	[1 0 0 0 0]
9999	anger	Wishing I could kidnap @candrews from work	[1 0 0 0 0]
10000	love	@Crazy_Cindy  BIG HUGGS	[0 0 1 0 0]
10001	sadness	ahhhh, very sad	[0 0 0 0 1]
10002	sadness	Migraining today--the naproxen sodium tablets I took are helping a little but my neck is now killing me.  Need my muscle relaxants	[0 0 0 0 1]
10003	sadness	@grrachel  that made me sad..	[0 0 0 0 1]
10005	sadness	i looking at failure	[0 0 0 0 1]
10006	happiness	@irishgirl Right; however, you neglect to mention that younger women are &quot;gold diggers&quot; or &quot;trophies.&quot; Isn't patriarchy grand?	[0 1 0 0 0]
10007	sadness	@danielgrosvenor #Java is not working - hmph!  Can't upload photos to #Facebook.	[0 0 0 0 1]
10008	neutral	Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips.	[0 0 0 1 0]
10009	sadness	my finger hurts cause its infected!	[0 0 0 0 1]
10010	neutral	last time washing my hair	[0 0 0 1 0]
10011	sadness	I need hugs from Joe Jonas	[0 0 0 0 1]
10012	sadness	@CenturyMontes why you stop following me? Was I not cool enough for you?	[0 0 0 0 1]
10013	neutral	@FTSKirstin its taking forever to upload	[0 0 0 1 0]
10014	sadness	@cazob  okay i need to find another way then lolz	[0 0 0 0 1]
10015	sadness	@Elleipein aww honey I'm sorry	[0 0 0 0 1]
10016	sadness	@ClintonSparks I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.	[0 0 0 0 1]
10017	anger	damn fight night 4 demo won't load, keeps crashing at the first screen. time to delete and re download i think	[1 0 0 0 0]
10018	sadness	Wishing I made enough money to do whatever I want! Sux... No money in education	[0 0 0 0 1]
10019	anger	@KourtneyKardash i hate this weather! When u have lived here ure whole life u get used to it...may is always rainy  @RobKardashian	[1 0 0 0 0]
10020	sadness	@babblingbrookie Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.	[0 0 0 0 1]
10021	happiness	@princesspooh90 Yeah but it doesn't sound indie enough  i need2learn some other tunes and then pick up mo style =] 1hour! I'll c u then ;)	[0 1 0 0 0]
10022	happiness	I'm no longer a sophomore.  Junior year is bringing new things. I'll be on 24/7 now. Hit me up and check out  http://bit.ly/esGIQ	[0 1 0 0 0]
10023	sadness	@Broccolope sorry about calling you in really late	[0 0 0 0 1]
10024	sadness	@KourtneyKardash noo  I'm in miami and I just wanna lay out in the sun..but the rain has stopped me	[0 0 0 0 1]
10025	sadness	hates the sound of silence..doesnt like being shut out..	[0 0 0 0 1]
10026	sadness	Got up early did a shit ton now im headed to cherokee park to run  and walk !	[0 0 0 0 1]
10027	sadness	My arms are making me want to cry... and also because those shots made me sick	[0 0 0 0 1]
10028	neutral	I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	[0 0 0 1 0]
10029	sadness	@ jimithy1: can't come  msbj&lt;3	[0 0 0 0 1]
10030	sadness	@LLCee I had to find out via twitter	[0 0 0 0 1]
10031	sadness	@thatchmaster i miss that place, but miss wegmans even more. whole foods != wegmans	[0 0 0 0 1]
10032	sadness	how do I vote for Mr twitter universe??? I'm a bit stuck	[0 0 0 0 1]
10033	anger	@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.	[1 0 0 0 0]
10034	sadness	is mad that its raining	[0 0 0 0 1]
10035	neutral	@Jamjar84 i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc	[0 0 0 1 0]
10036	neutral	boo gf can't go now  I passed my guard training lol	[0 0 0 1 0]
10037	love	@mileycyrus tell me where to vote and I will do so!!!! cause I'm from Germany I don't now where to do it..  btw: I love you and your music	[0 0 1 0 0]
10038	neutral	Had lunch at a Japanese sushi restaurant &amp; I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn't have a clue	[0 0 0 1 0]
10039	neutral	@tapulous You always catch me away from my computer.  ?	[0 0 0 1 0]
10040	neutral	Ug. Full of cold and in a dark pub. Want to go outside	[0 0 0 1 0]
10041	neutral	@BossTutie I said hi to u	[0 0 0 1 0]
10042	sadness	@Drob114 thanks for rubbing it in, jerk  where are you guys going this weekend?	[0 0 0 0 1]
10043	sadness	not really in the twitter mood today... i don't know what to do	[0 0 0 0 1]
10044	sadness	@Knownhuman damn - that's sad, then... I haven't heard the new one yet. Sounds like I've been spared a tragedy.	[0 0 0 0 1]
10045	happiness	i had a dream that i was going to my graduation &amp; i started crying...then i went home to take a nap &amp; missed it...then a bee stung me...	[0 1 0 0 0]
10046	neutral	@bobbyshirley Anything is accepted except Christianity. Google the discussion thread &quot;sexuality and religion&quot; and SLED for Second Life.	[0 0 0 1 0]
10047	sadness	@ColinBach Sorry dude couldn't make BBQ only just back from hospital	[0 0 0 0 1]
10048	love	My stomach is trying to eat itself. Is it time for lunch yet? *looks at clock* Damn... another hour 20 'til lunch.	[0 0 1 0 0]
10049	sadness	i wanna see 'up' tonight, but no one will go with me. whhhyyy	[0 0 0 0 1]
10050	happiness	Just received my Leeds 10K bib and timing chip - but my hip injury means I won't be breaking any 10K PB this time around	[0 1 0 0 0]
10051	happiness	Went to the vending maching to get Bugles. No Bugles  Perhaps it is a sign that I don't need the snack anyway.	[0 1 0 0 0]
10052	sadness	Evaluating my people...Dont like this part of the job	[0 0 0 0 1]
10053	sadness	does anyone know where I can watch the prison break tv movie? It's not on itunes	[0 0 0 0 1]
10054	sadness	@mrs_aaberg it certainly was their fault that I had to crawl all over the woods today but I'm afraid it would have broken at home too	[0 0 0 0 1]
10055	neutral	@arischenck Headed back to Baltimore tonight	[0 0 0 1 0]
10056	sadness	@Intelligentle This was at Pitman's down South. It just looks like business is bad all over	[0 0 0 0 1]
10057	sadness	@BonesCrazy24 I've had the week off too...but I have Biology  exams to revise for so my Bones time is limited	[0 0 0 0 1]
10058	sadness	@jerseymoongirl - I'm hoping these pills will do something, cuz I'm gonna go nuts	[0 0 0 0 1]
10059	anger	@Xantiriad the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house	[1 0 0 0 0]
10061	sadness	Edge left me off the contributors list in this month's issue.  x FFS. &lt;- Werd	[0 0 0 0 1]
10062	sadness	no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING	[0 0 0 0 1]
10063	sadness	In denial about the moving van parked a few blocks away.	[0 0 0 0 1]
10064	sadness	Last day in maui	[0 0 0 0 1]
10065	sadness	So much work, so little time	[0 0 0 0 1]
10066	neutral	I need to burp ....  Im so nauseas....	[0 0 0 1 0]
10067	happiness	@THE_WOCKEEZ I wanna go! But I won't be there  I'm sure that the show will be great!!	[0 1 0 0 0]
10068	neutral	@tandmark well at least they have good taste in art,cabinet appts.not so much	[0 0 0 1 0]
10069	sadness	@countrygirls86 dude i tried!! it wouldn't load!	[0 0 0 0 1]
10070	neutral	@willisface you know you want to come keep me company whilst mum's at her friends for the night  it's such a nice evening!	[0 0 0 1 0]
10071	sadness	@tapulous where's the UK love?!	[0 0 0 0 1]
10072	sadness	I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help	[0 0 0 0 1]
10073	love	A laodicean life for Kavya &amp; family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean	[0 0 1 0 0]
10074	sadness	@1jaredPADALECKI 5 seasons that's it? Sorry just noticed in ur previous update. My sis isn't gonna be happy	[0 0 0 0 1]
10075	neutral	@vcha you should say mlia instead of fml  i hope you find it soon	[0 0 0 1 0]
10076	sadness	oh how I miss my truck... I could have my whole place moved by now...	[0 0 0 0 1]
10077	sadness	is in mourning that he is having to miss the homesssssskooooler fair today!!!	[0 0 0 0 1]
10078	sadness	@mechellelewis Are you shattered after that long week?  Thats a pity about tomorrow night	[0 0 0 0 1]
10079	neutral	@EmmDeeCee no he wasn't there today	[0 0 0 1 0]
10080	sadness	Laundry time and LOTS of it!	[0 0 0 0 1]
10081	sadness	@KimmyGotSoul aw damn. ok i got you for tuesday on that. i gotta write a short post for today tho	[0 0 0 0 1]
10082	happiness	Got word from USAA that the minivan is totalled.  Now we need a high valuation for something to buy a new car with.	[0 1 0 0 0]
10083	happiness	having a great time on vacation, sure as heck don't want to go to work on tues.	[0 1 0 0 0]
10084	sadness	@princeofcode Sorry we couldn't get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running	[0 0 0 0 1]
10085	sadness	Still white despite being out for ages in the sun	[0 0 0 0 1]
10086	neutral	@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky	[0 0 0 1 0]
10087	sadness	I feel like I'm going to toss my cookies	[0 0 0 0 1]
10088	happiness	@poppy_dog Lucky you! it's drizzling again. Mommy says the puddles are big enough 4 me to swim in, so no dog park today..	[0 1 0 0 0]
10089	happiness	@mr_uppercut that was such an 'old man' thing to say	[0 1 0 0 0]
10090	sadness	Off to Nanaimo 2day... missing my son already and i havent even left yet	[0 0 0 0 1]
10091	sadness	is taking mommy to the airport.	[0 0 0 0 1]
10092	sadness	@alivelshi what a society we live in	[0 0 0 0 1]
10093	neutral	Ha, @joestump i'm giving spymaster a chance - just curious! will miss u	[0 0 0 1 0]
10094	sadness	ah seriously i dont even work with children some how i am still sick!  groundhog friday just got worse.	[0 0 0 0 1]
10095	sadness	Bad day at the office. In a horrendous mood  Was it national 'Act like an idiotic buffoon' day today and no-one bothered to tell me?!!	[0 0 0 0 1]
